Game Date,Home or Away Game,Opponent,Win or Loss,CU Score,Opponent Score,Notes,
12/28/24,away,BYU,L,14,36,Alamo Bowl,
11/29/24,home,Oklahoma State,W,52,0,,
11/23/24,away,Kansas,L,21,37,,
11/16/24,home,Utah,W,49,24,,
11/9/24,away,Texas Tech,W,41,27,,
10/26/24,home,Cincinnati,W,34,23,,
10/19/24,away,Arizona,W,34,17,,
10/12/24,home,Kansas State,L,28,31,,
9/28/24,away,UCF,W,48,21,,
9/21/24,home,Baylor,W,38,31,,
9/14/24,away,Colorado State,W,28,9,,
9/7/24,away,Nebraska,L,10,28,,
8/29/24,home,North Dakota State,W,31,26,,
11/25/23,away,Utah,L,17,23,,
11/17/23,away,Washington State,L,14,56,,
11/11/23,home,Arizona,L,31,34,,
11/4/23,home,Oregon State,L,19,26,,
10/28/23,away,UCLA,L,16,28,,
10/13/23,home,Stanford,L,43,46,,
10/7/23,away,Arizona State,W,27,24,,
9/30/23,home,USC,L,41,48,,
9/23/23,away,Oregon,L,42,6,,
9/16/23,home,Colorado State,W,43,35,2 OT,
9/9/23,home,Nebraska,W,36,14,,
9/2/23,away,TCU,W,45,42,,
11/26/22, home, Utah, L,21,63, ,  
11/19/22, away, Washington, L,7,54, ,  
11/11/22, away, USC, L,17,55, ,  
11/5/22, away, Oregon, L,10,49, ,  
10/29/22, home, Arizona State, L,34,42, ,  
10/22/22, away, Oregon State, L,9,42, ,  
10/15/22, home, California, W,20,13, ,  
10/1/22, away, Arizona, L,20,43, ,  
9/24/22, home, UCLA, L,17,35, ,  
9/17/22, away, Minnesota, L,7,49, ,  
9/10/22, away, Air Force, L,10,41, ,  
9/2/22, home, TCU, L,13,38, ,  
11/27/21, away, Utah, L,13,28, ,  
11/24/21, home, Washington, W,20,17, ,  
11/13/21, away, UCLA, L,20,44, ,  
11/6/21, home, Oregon State, W,37,34, ,  
10/30/21, away, Oregon, L,29,52, ,  
10/23/21, away, California, L,3,26, ,  
10/16/21, home, Arizona, W,34,0, ,  
10/2/21, home, USC, L,14,37, ,  
9/25/21, away, Arizona State, L,13,35, ,  
9/18/21, home, Minnesota, L,0,30, ,  
9/11/21, other, Texas A&M, L,7,10, Denver CO,  
9/3/21, home, Northern Colorado, W,35,7, ,  
12/29/20, home, Texas, L,23,55, ,  
12/12/20, home, Utah, L,21,38, ,  
12/5/20, away, Arizona, W,24,13, ,  
11/28/20, home, San Diego State, W,20,10, ,  
11/14/20, away, Stanford, W,35,32, ,  
11/7/20, home, UCLA, W,48,42, ,  
11/30/19, away, Utah, L,15,45, ,  
11/23/19, home, Washington, W,20,14, ,  
11/9/19, home, Stanford, W,16,13, ,  
11/2/19, away, UCLA, L,14,31, ,  
10/25/19, home, USC, L,31,35, ,  
10/19/19, away, Washington State, L,10,41, ,  
10/11/19, away, Oregon, L,3,45, ,  
10/5/19, home, Arizona, L,30,35, ,  
9/28/19, away, Arizona State, W,34,31, ,  
9/14/19, home, Air Force, L,23,30, ,  
9/7/19, home, Nebraska, W,34,31, ,  
8/30/19, other, Colorado State, W,52,31, Denver CO,  
11/24/18, away, California, L,21,33, ,  
11/17/18, home, Utah, L,7,30, ,  
11/10/18, home, Washington State, L,7,31, ,  
11/2/18, away, Arizona, L,34,42, ,  
10/27/18, home, Oregon State, L,34,41, ,  
